timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
9.60,-0.4388,9.8816,-1.9649,-4.0468,1.5161,1.9326
19.40,-0.5113,9.7967,-1.5664,-4.0640,1.5016,1.9077
36.10,-0.0535,9.5881,-1.0976,-1.2548,-0.6860,-1.7219
52.70,0.2566,9.4857,-0.6210,-16.2379,5.8826,5.8049
69.30,0.1111,9.4962,-0.5089,-22.2991,9.9932,11.7298
86.00,-0.0790,9.5904,-1.0137,-23.2149,10.7328,13.1751
102.70,-0.1623,9.6820,-1.5009,-18.7236,9.4109,9.9775
119.50,-0.3634,9.7839,-1.8008,-10.8956,5.9793,4.1705
136.00,-0.1572,10.0831,-1.8345,-5.9902,2.1582,-2.2604
152.70,0.2826,10.1800,-1.8051,-28.9862,0.8820,-3.4575
169.50,0.7892,10.4905,-1.6204,-48.6532,3.2416,-1.1906
186.10,0.8102,11.0021,-2.1994,-71.2811,2.4674,-1.5383
202.70,1.1402,11.3257,-2.3170,-92.5615,-1.5539,-6.0514
219.20,2.0702,11.6017,-1.6291,-101.6692,-3.2887,-13.4733
236.20,2.1155,13.1703,-1.1310,-108.3220,-6.1479,-18.9657
252.80,1.3410,13.5941,-1.3934,-126.5175,-9.6957,-20.3786
269.40,0.1089,14.2187,-2.1013,-160.2396,-28.5981,-23.8008
286.10,-0.1866,14.1798,-0.6316,-155.4045,-45.5778,-26.6872
302.80,0.7233,14.1336,-0.6833,-148.8617,-57.4677,-30.0259
319.40,2.4153,13.9110,-0.6406,-165.9767,-66.7328,-34.3814
336.10,4.6913,14.7896,-1.8649,-191.2267,-80.8608,-38.0372
353.00,3.9182,15.0412,-4.0768,-230.1873,-87.4769,-44.9492
369.50,3.1511,14.4633,-5.1199,-374.0948,-119.7947,-75.5704
386.20,-0.4119,12.1401,-4.5516,-443.6544,-179.1294,-86.2759
402.80,-5.9681,9.0782,-3.2044,-426.2217,-225.2377,-95.5662
419.60,-8.1100,7.5704,-5.1814,-334.0681,-208.5631,-138.3281
436.30,-6.1362,6.4753,-3.6370,-290.5508,-184.6941,-178.1208
452.80,-9.4086,-3.8480,-3.6237,-273.1391,-260.9797,-157.5643
469.40,-11.9136,-13.4777,-5.4625,-273.3634,-374.1012,-110.5901
486.10,-15.7536,-19.3538,-2.7860,-112.6849,-494.7928,-50.7001
502.70,-14.7394,-13.9397,2.9670,24.0399,-394.3641,-64.7541
519.60,-14.3341,-6.4349,13.2916,84.9848,-253.8829,-27.3624
536.00,-13.6050,-1.7065,16.2414,82.9551,-115.4500,66.8857
552.90,-3.1056,-3.8750,-11.2018,58.4628,-65.1225,177.2751
569.40,3.0385,-0.6222,-21.8822,61.5193,-41.9268,197.7555
586.00,5.0949,2.7143,-25.0387,83.9120,34.8761,63.3143
602.70,3.4627,6.1800,-18.9274,61.9966,33.6185,12.6662
619.40,0.6997,4.6380,-13.8430,35.2322,32.3416,-14.0544
636.00,-1.9901,1.6895,-9.9366,24.2116,39.3798,-30.0861
652.70,-3.7761,-0.1958,-7.0486,27.7413,51.1360,-35.7330
670.60,-3.0827,0.6737,-4.7469,29.8332,51.3273,-28.5632
686.10,-2.4037,1.3856,-4.9237,22.8593,33.9174,-14.9583
702.80,-3.0698,0.9650,-5.5050,-8.1713,13.0838,-10.6011
720.70,-3.6641,0.4129,-5.8825,-17.6006,17.9585,-19.8749
737.10,-4.1000,-0.5551,-5.9356,-22.0116,20.7951,-31.1703
