timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
9.10,-4.2925,8.4042,-3.3932,-0.9676,-3.0230,4.1899
13.20,-3.9873,8.3753,-3.6174,-0.9841,-3.0357,4.1769
29.60,-3.6528,8.4329,-3.2928,1.7010,-0.3242,-0.3028
46.40,-3.7220,8.4044,-3.3842,-0.6756,0.5564,-1.3206
63.10,-3.9835,8.4476,-3.2278,-1.6193,0.1771,-1.8321
79.90,-3.9896,8.3515,-3.1185,0.0858,0.3449,-2.4665
96.50,-4.0802,8.4662,-2.8365,2.8278,0.7171,-1.7406
113.00,-4.0692,8.3285,-3.1270,4.4983,1.3265,-0.4754
129.80,-4.0637,8.3270,-3.1382,2.6883,1.3621,0.3435
146.70,-4.0637,8.3280,-3.1355,-1.6950,0.8032,1.5172
164.90,-4.0499,8.3163,-3.2385,-2.2252,1.1370,1.3733
179.70,-4.0991,8.2867,-3.3582,-0.7958,0.8348,0.2827
196.50,-3.9698,8.2275,-3.3284,2.9870,1.1898,-1.7181
213.30,-3.8548,8.3071,-3.0022,4.9112,0.9012,-3.0997
229.70,-3.7503,8.2604,-2.8513,3.6047,0.9987,-2.2932
246.60,-3.9263,8.1825,-2.9885,-1.1753,2.9122,0.0882
263.30,-4.1688,8.1718,-3.2685,1.0120,3.3246,-0.6581
280.20,-4.1811,8.2070,-3.7233,4.6795,3.0770,-3.5728
296.80,-4.1678,8.0740,-3.9446,7.1985,3.2712,-7.2884
313.20,-4.5622,8.2137,-4.2215,11.9218,1.8732,-11.7857
330.10,-4.6942,8.3723,-4.1736,15.9120,-0.5984,-15.4502
346.50,-4.5912,8.3019,-4.0792,16.5725,-2.5374,-17.8254
363.10,-5.0855,8.3296,-4.2432,13.8534,-2.3889,-21.3398
380.00,-5.8799,8.2574,-4.4511,9.9318,-5.8107,-23.2928
396.60,-6.8417,8.2341,-4.6519,9.4560,-11.4654,-25.3085
413.20,-8.1999,8.1939,-4.9073,10.3534,-23.0330,-27.5073
430.00,-9.4430,8.3334,-4.9755,14.3876,-39.8708,-29.2776
446.50,-9.0213,8.2564,-3.5465,18.3080,-55.3128,-29.8067
463.30,-8.8128,8.4526,-2.6568,17.9834,-76.6167,-25.3317
480.00,-9.0636,8.4564,-1.8275,14.5462,-88.4908,-20.0020
496.50,-10.1713,8.4293,-1.0737,4.1995,-106.8292,-9.7211
513.10,-11.8180,8.2307,-0.2462,-6.7723,-135.8316,4.9847
530.00,-10.6075,7.7056,-0.6044,-11.3475,-163.0659,12.0081
546.60,-5.9871,7.9149,-1.1351,1.5202,-173.7691,0.3117
563.10,-5.0210,8.1121,-1.1285,43.7884,-154.1179,-28.5583
581.00,-5.0062,8.0300,-0.9475,53.4800,-149.4186,-41.3057
596.70,-4.5830,7.8086,-0.0439,54.6127,-150.3039,-48.8367
613.20,-4.7369,7.4463,0.6740,60.7001,-154.2917,-51.5823
630.00,-4.7801,7.1279,0.7091,67.6501,-158.9430,-60.9355
646.70,-3.8629,6.5757,0.8586,70.1421,-165.9427,-82.1190
663.30,-1.3411,6.5572,0.7905,73.5432,-172.0845,-98.6865
679.70,0.4419,6.6956,1.2097,74.9080,-157.2949,-120.9401
696.40,0.6802,6.1565,2.1082,76.9064,-144.3166,-134.2593
713.00,1.0103,6.0509,2.2728,89.0560,-128.8894,-150.9242
729.70,1.3385,5.7681,2.4490,100.7807,-117.8420,-167.9318
746.30,2.4340,6.0916,0.4769,98.5757,-103.3771,-195.3421
763.10,3.7487,5.7199,-0.0072,95.0096,-94.1749,-213.6604
779.90,6.1159,5.4160,-1.4259,70.5468,-86.2562,-222.0935
796.40,7.2693,5.4205,-2.3143,57.5125,-72.1189,-230.7242
813.00,8.8334,5.1022,-3.3939,40.8676,-31.1037,-226.6793
829.80,9.7958,3.8602,-3.6581,32.5501,-14.6913,-219.8586
846.60,12.1536,2.1712,-5.4291,16.6159,-0.5821,-205.3687
863.10,14.1953,1.1341,-6.9150,7.1753,-1.3828,-181.8525
879.80,15.2739,0.7772,-8.1850,5.1755,-8.3353,-113.0641
896.50,15.0196,0.6110,-9.0718,15.4110,-1.7603,-86.9468
913.10,14.2448,0.6273,-9.4895,22.9513,2.8691,-65.1269
929.80,13.8052,0.7821,-9.5559,26.5422,4.6595,-45.6396
946.40,13.9931,1.0985,-9.4306,26.0023,2.2810,-21.6890
963.10,14.3093,2.0086,-8.2794,25.1016,-1.1993,7.8494
979.70,13.3965,2.3961,-6.9111,26.5399,-1.3977,35.6184
996.40,12.2548,3.1435,-5.6664,25.4953,-2.4690,75.4543
1013.00,11.5142,3.8815,-4.7684,27.3521,2.7224,83.0396
1029.70,11.2051,4.0905,-4.0845,27.3807,7.3291,89.6426
1046.40,10.8218,4.4812,-3.5024,19.3304,8.5297,99.0505
1063.00,10.8950,4.1904,-2.6663,2.5465,6.3593,112.2799
1079.70,11.2590,4.1550,-2.4021,-10.3212,3.3310,128.6023
1096.50,11.4033,4.3039,-2.4660,-13.1378,15.6506,149.8253
1113.20,11.6889,4.2798,-2.0647,-7.7807,34.2699,156.1906
1129.70,10.7123,4.5505,-1.4663,-5.8924,52.7674,160.8732
1146.40,8.8739,4.6029,-0.5624,-20.9769,56.0506,169.6558
1163.00,7.8905,4.2999,1.3158,-49.2871,47.8003,176.7407
1179.80,7.5713,4.9136,1.4534,-56.3984,44.7494,181.9433
1196.50,7.4066,5.6567,1.1761,-34.7661,70.1227,181.2428
1213.90,7.4589,5.7058,1.4693,-33.9408,86.9431,186.3693
1229.60,5.6972,5.9594,1.3184,-48.1749,99.8650,194.0391
1247.10,2.7125,6.5218,1.1699,-83.8042,100.2203,193.9113
1264.50,1.6875,6.0908,1.7507,-116.8573,101.2664,176.6877
1279.80,1.6501,6.3162,1.4012,-107.1008,113.8441,162.0562
1296.90,1.7045,6.6918,0.5333,-73.3304,143.7080,142.5451
1313.50,-0.2849,6.9778,-0.0978,-43.9142,198.3120,115.1989
1330.60,-3.7114,6.9141,-0.3878,-80.4512,191.3788,100.3744
1346.80,-6.7634,6.4912,-0.2645,-122.3395,163.7081,79.3514
1363.60,-8.6496,6.4571,-0.3167,-112.1988,138.2927,55.8154
1380.60,-6.4026,7.0324,-1.6437,-62.6140,135.4574,17.5594
1396.30,-5.8074,7.2869,-3.0554,-18.5467,135.7984,2.9763
1413.00,-6.2495,7.1962,-3.0081,-54.6085,110.8238,1.1225
1429.80,-6.7287,7.0109,-2.9567,-85.8421,97.8877,7.2498
1446.30,-6.3715,6.7746,-3.7563,-85.9383,95.1936,7.8288
1463.20,-6.7958,6.2121,-6.1804,-61.9370,94.9399,-3.1933
1479.60,-11.7286,6.3456,-7.6604,-34.8267,81.1436,-18.1521
1496.30,-10.3064,7.3621,-5.6355,-19.9208,47.4525,-16.8947
1512.90,-7.4464,7.4332,-4.7019,-13.7214,27.0812,-4.6798
1530.20,-5.6913,7.6590,-5.2715,-26.0993,22.2392,7.7109
1546.20,-5.1258,7.5328,-6.2987,-26.2289,24.3066,0.2000
1562.90,-5.3068,7.6224,-6.3740,-18.9052,25.5885,-9.3426
1579.70,-6.2561,7.6660,-5.7362,-10.6575,24.0627,-11.3144
1596.30,-6.4438,7.7837,-5.4113,-4.9624,14.6441,-6.8705
1613.00,-5.2590,7.7473,-5.4829,-4.3143,5.4588,-0.9740
1629.60,-4.0598,7.8800,-5.4730,-2.0464,2.4292,-1.8765
1646.40,-3.6363,8.0207,-5.2827,-0.4161,7.0599,-8.0171
1662.90,-4.1060,8.0672,-5.0031,1.0784,11.2003,-13.1545
1679.60,-4.8437,8.0537,-4.8781,0.3538,11.3834,-14.4635
1696.50,-5.5256,7.8340,-5.0829,3.9381,9.0505,-11.8355
1713.10,-5.3843,7.8614,-4.8060,8.6457,5.1117,-10.5798
1729.80,-4.9515,7.9107,-4.4715,5.5329,-1.9036,-7.5646
1746.20,-5.0719,7.9769,-4.1140,-0.3362,-4.1117,-5.2001
1763.00,-5.1709,8.0159,-3.8531,-0.5875,-5.6241,-1.9684
1779.70,-5.0418,7.9417,-3.9204,7.5817,-5.3073,-1.6158
1796.40,-5.0186,7.9589,-3.9472,17.8397,-4.7122,-1.9999
1813.00,-4.3885,7.9991,-3.5855,21.7326,-4.9374,-2.4426
1829.70,-4.1056,8.0597,-3.4008,16.9842,-4.9139,-1.2924
1846.30,-3.9612,8.0136,-3.4512,1.3897,-3.0978,2.4602
1863.00,-4.0464,7.9917,-3.4813,-0.7063,-1.6939,2.1776
1879.80,-4.2495,7.8626,-3.7870,6.9847,-0.2504,-0.6417
1896.30,-4.4077,7.8838,-3.9960,16.6145,0.1786,-5.3466
1913.00,-4.2640,8.1792,-2.2289,19.5787,-3.3167,-15.9190
1929.90,-4.8968,8.3186,-1.9525,27.1182,2.5951,-8.0795
1946.30,-4.4720,8.2442,-2.0985,10.7880,-2.4513,4.5826
1962.90,-4.2056,8.3730,-2.6087,3.8786,-2.2558,8.4408
1979.90,-4.0325,8.1683,-3.0113,0.8783,-1.6725,8.5966
