timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
9.30,-0.7625,10.0191,-0.7781,-3.9473,0.9224,1.4416
26.00,-0.7523,10.0245,-0.9966,-1.2231,-0.3750,0.9345
42.60,-0.4247,10.0379,-1.0540,3.0724,-2.7589,-1.3263
59.20,-0.1091,9.8539,-1.0853,2.5279,-1.3393,-2.0484
75.80,-0.1121,9.8573,-1.0545,1.9455,0.1051,-3.2732
92.60,-0.3366,9.9395,-0.7637,-0.2906,0.8074,-2.5226
109.20,-0.6962,9.9178,-0.6418,-3.2429,0.4933,0.0158
125.90,-0.7379,9.8319,-1.0721,-2.9855,-0.4834,2.1174
142.60,-0.6137,9.7359,-1.0653,-2.1413,-1.9512,2.0537
159.30,-0.6120,9.6398,-1.1662,-2.2526,-1.0940,0.4570
176.10,-0.7221,9.6353,-1.1870,-4.6664,-0.8759,0.3287
192.60,-0.6477,9.6291,-0.9801,-5.4727,-0.9028,0.3078
209.40,-0.6575,9.5271,-0.9961,-3.4689,-1.1185,-0.2362
226.00,-0.4465,9.5385,-1.0575,-1.4871,-1.9099,-1.2044
242.70,-0.2508,9.5470,-1.0064,-0.9986,0.1862,-2.9628
259.20,-0.4007,9.6343,-0.8121,-2.3222,1.7215,-2.5659
275.90,-0.5997,9.6270,-0.8491,-4.7833,2.3930,-1.7589
292.70,-0.6285,9.6200,-0.7683,-7.4888,2.1219,-0.4313
309.40,-0.6454,9.6175,-0.7861,-7.6194,1.8664,0.5575
326.20,-0.4536,9.6312,-0.9614,-5.8804,1.3470,-0.2381
342.60,-0.5698,9.6267,-0.9707,-3.8193,2.1828,-1.5357
359.30,-0.7927,9.8152,-1.0066,-4.5809,4.3526,-1.8549
376.00,-0.8896,9.8087,-1.0433,-5.8356,4.5810,-1.6251
392.70,-1.0056,9.8995,-1.0857,-5.6748,4.3870,-2.0399
409.40,-1.1374,9.9857,-1.0358,-3.8790,3.9934,-3.2351
426.60,-1.2509,10.0729,-1.0010,-2.9168,2.6377,-3.8685
442.60,-1.2645,10.0630,-1.0804,-3.5009,1.1670,-3.5905
459.40,-1.2104,10.0595,-0.8946,-1.9463,-0.5630,-4.0106
476.00,-1.2211,10.0563,-0.7211,0.5013,-2.6505,-3.5034
492.70,-1.0839,10.0644,-1.0160,4.1470,-4.0663,-3.8481
509.30,-0.8328,10.0819,-1.2697,6.1775,-4.5524,-5.4198
526.00,-0.7226,10.0916,-1.3295,6.5748,-4.0986,-7.0869
542.80,-0.9406,10.1836,-1.1175,3.6358,-3.0274,-6.8634
559.70,-1.2399,10.3701,-1.3618,0.8717,-3.0945,-4.8912
576.10,-1.3340,10.4778,-2.0753,8.1728,-10.6390,-5.5250
592.80,-1.3463,10.8072,-3.4600,24.2511,-17.3643,-16.1154
609.50,-1.1940,11.1465,-4.4135,37.0515,-23.7537,-29.2495
626.20,-0.7419,11.6835,-4.6213,43.4810,-28.1018,-38.7820
642.90,-0.8505,12.7772,-6.9326,29.3988,-30.4404,-39.2676
659.40,-0.9273,12.6492,-8.3832,1.2123,-32.0748,-36.5440
679.70,-2.1263,12.8723,-9.2732,-33.4315,-42.7726,-57.2952
692.80,-2.6778,12.4070,-10.0113,-20.9717,-55.5228,-85.7108
709.30,-2.7824,11.8606,-10.4117,-7.3400,-66.3324,-117.6214
726.00,-2.9514,11.1513,-9.4031,-19.9942,-72.4415,-131.9803
742.70,-3.2062,10.0364,-8.9248,-62.7698,-74.3907,-126.7203
759.40,-5.3761,7.5634,-8.2579,-112.8952,-79.2250,-109.9776
776.00,-7.9592,5.9845,-7.7232,-159.8678,-93.5929,-123.8618
792.60,-9.7316,4.6915,-4.8565,-157.2491,-111.7845,-144.6862
809.40,-9.9568,2.9538,-3.2858,-150.6626,-125.6385,-162.2273
826.00,-10.7849,1.4287,-3.0683,-164.1311,-139.5504,-170.8088
842.70,-10.4840,-1.0746,-3.5101,-204.2133,-158.3914,-170.9082
859.30,-2.4772,-5.5727,-2.9997,-240.5239,-193.4872,-161.7080
876.30,0.8022,-7.4767,-2.7939,-278.5826,-201.6138,-151.7566
892.60,3.0653,-9.3578,-1.5796,-343.2980,-165.1600,-182.4676
909.40,3.8635,-10.3412,3.9905,-364.8898,-184.9886,-180.4146
926.00,11.7890,-8.1288,5.7255,-368.1412,-205.7394,-164.5177
942.70,19.3460,-3.9552,6.2896,-343.9069,-200.7346,-106.5581
959.50,22.6363,3.7567,6.5440,-286.9314,-206.2608,2.5899
976.10,23.6445,5.9709,5.0293,-217.6942,-195.4488,77.1351
992.70,23.3003,7.2157,3.8844,-141.5928,-121.0861,116.0254
1009.30,22.0370,8.9253,6.2047,-130.5514,-90.1152,77.6385
1026.00,22.6346,10.8277,9.0628,-116.0493,-64.7168,37.8364
1042.70,23.4434,13.7811,13.5270,-76.2318,-45.9491,22.1446
1062.20,25.2854,16.0718,14.2157,-13.6480,-25.5754,24.9566
1076.10,23.6600,14.5806,12.7817,47.0171,6.8724,44.6131
1092.80,19.9781,13.0640,12.4715,90.4771,43.6707,63.9825
1109.50,17.6889,12.3329,11.9173,136.1215,88.4076,43.4074
1130.60,15.7191,11.0131,11.6911,156.3368,104.7385,43.5668
1143.00,13.7842,9.2867,11.9051,175.4094,113.1938,62.7375
1162.00,11.4856,7.8356,14.1709,190.5583,110.2092,109.4962
1181.00,11.4251,6.5441,14.4952,241.6213,122.2710,176.2155
1192.50,9.2721,3.8554,13.2384,229.0354,112.8517,197.9653
1210.60,5.5742,0.8887,11.6275,242.8553,115.4334,249.5978
1228.50,3.7614,-0.6255,9.0813,229.0186,102.6711,270.5102
1244.80,2.7389,-1.2425,6.8003,205.9924,85.7571,285.2726
1262.80,0.5747,-2.2155,3.6512,166.8735,56.4656,302.9800
1278.30,0.1053,-2.5718,2.0506,153.7348,45.8962,293.8672
1294.60,-0.4522,-2.4778,0.8221,146.0051,41.3008,278.3943
1310.80,-0.7604,-2.2627,-0.5493,160.1937,60.4774,229.0842
1329.80,-1.3035,-1.8329,-2.4862,167.2684,66.5870,207.4925
1345.70,-2.0504,-1.5665,-4.4589,170.0069,67.7757,186.3626
1367.90,-2.2566,0.8272,-6.6455,166.0366,55.7509,148.3813
1377.00,-2.2566,0.8272,-6.6455,166.0366,55.7509,148.3813
1395.00,-1.6952,3.3724,-6.1403,157.7794,42.7558,134.8441
1410.90,-1.5521,4.3926,-5.4338,154.1697,55.2873,106.0591
1425.90,-1.1145,5.7290,-6.4650,159.8505,60.5812,95.7205
1446.70,-0.2740,7.1485,-8.1415,152.3834,62.6289,86.7147
1459.40,0.3975,7.9067,-8.3706,130.1633,64.1410,69.4261
1480.00,0.2278,9.2189,-6.6302,105.3145,67.8520,57.9005
1493.30,-1.1431,9.6103,-6.1406,72.9211,72.7878,54.1339
1509.30,-2.3905,10.0323,-6.3952,49.9607,71.9223,55.0847
1526.80,-2.9860,10.3040,-7.5889,57.9697,60.6549,47.1089
1542.70,-3.2371,10.7903,-7.7647,66.2549,50.2171,37.4954
1559.30,-2.5584,11.0308,-7.5151,69.7655,40.4496,28.4844
1575.90,-1.8867,11.2570,-6.9355,63.8232,33.8519,21.4268
1594.40,-1.6819,11.5466,-5.7084,52.4232,28.4931,17.9068
1611.70,-1.6103,11.5407,-5.4489,42.1317,22.6190,16.4958
1626.60,-1.7428,11.5125,-4.9036,31.4308,6.1639,14.7615
1642.50,-1.4655,11.3602,-5.0544,33.4685,-1.1230,11.6263
1659.20,-1.0264,11.2383,-5.0494,37.1490,-6.7618,4.2201
1676.10,-0.3687,10.9475,-4.5777,40.4381,-8.4944,-4.4267
1692.80,0.1480,10.6228,-4.1514,38.7473,-5.5068,-13.0859
1711.10,-0.3785,10.0663,-2.4448,31.9946,-1.3163,-20.0914
1725.80,-1.4721,10.0062,-1.1484,26.7413,2.5311,-22.6633
