timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
7.60,-3.0755,9.1157,-1.9939,2.0658,0.2974,-1.3505
24.70,-3.1044,9.1165,-1.8845,-1.3506,0.7041,-1.4213
38.90,-3.2242,9.1903,-1.8981,-3.4014,0.1131,-1.2720
58.90,-3.0046,9.1427,-1.8691,-4.1177,-0.1853,-1.5685
72.30,-2.6346,9.0568,-1.4741,-2.3385,1.3359,-2.2797
89.00,-2.7388,9.0282,-1.5524,1.2367,3.5223,-2.9739
105.70,-3.0385,9.0573,-1.5854,3.1600,3.7333,-3.8401
122.30,-2.9213,8.9848,-1.5621,2.4551,3.6592,-3.9335
139.30,-3.1191,9.0365,-1.6073,-4.0043,4.8314,-2.6952
155.60,-3.3658,8.9884,-1.3567,-5.6029,4.3092,-1.3779
172.40,-3.4834,9.0559,-1.4128,-0.2386,4.7508,-2.0353
189.00,-3.5498,9.1079,-1.8561,3.3024,4.2527,-3.6904
205.70,-3.3823,9.0719,-1.4663,2.5225,3.8087,-4.0916
222.20,-3.4868,9.1471,-1.5039,1.7251,4.0837,-3.2121
239.00,-3.4637,9.0473,-1.5128,2.5442,3.3138,-2.3740
255.90,-3.4616,9.0431,-1.5425,3.2552,3.0480,-2.5833
272.30,-3.3625,9.0761,-1.4487,3.3042,3.0828,-2.1882
288.90,-3.3374,9.0754,-1.5457,2.3471,3.8139,-1.7537
305.80,-3.2769,9.1992,-1.4620,-0.0201,4.4848,-0.5795
322.30,-3.4583,9.1440,-1.5869,-2.6515,4.9076,0.7906
339.20,-3.4166,9.1223,-1.9107,-1.8314,5.3194,0.8488
355.60,-3.3008,9.1514,-1.9097,2.0210,6.1849,-4.0844
372.20,-3.4331,9.2295,-1.8361,0.0256,7.3272,-5.5237
389.00,-3.5628,9.3051,-1.7810,-3.3643,7.9872,-7.3230
405.70,-3.8229,9.4564,-1.6767,-3.1103,8.7137,-10.5260
422.30,-4.8699,9.7444,-0.5112,-2.0369,8.8869,-14.7568
439.00,-5.4663,9.7915,0.1902,-0.3768,8.3793,-14.9581
455.80,-6.3303,9.9847,0.9763,-8.0026,1.9496,-0.4969
472.40,-6.9260,10.0028,1.4951,-19.6062,-5.2197,13.2424
489.00,-8.1188,10.2408,2.7605,-30.1884,-17.6538,31.4492
505.60,-9.2033,10.2415,3.9687,-36.0384,-34.8121,54.9931
522.40,-9.3665,9.1885,5.5947,-46.1925,-60.1481,80.5532
539.00,-7.6461,8.1052,6.0418,-58.7679,-85.8111,108.7870
555.70,-6.0920,7.2445,5.5754,-85.9020,-115.4409,161.9419
572.30,-5.0420,6.4244,5.3633,-93.1416,-123.8090,187.9077
589.20,-5.0197,5.3776,5.1122,-85.1570,-130.9932,211.0122
605.80,-5.6000,4.0980,4.5811,-75.3694,-150.9677,220.7550
