timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
8.90,-0.9660,9.7440,-1.6884,-6.3460,2.2045,3.9037
13.50,-1.0634,9.8384,-1.8040,-6.3647,2.1916,3.8803
30.10,-0.9418,9.7400,-1.8802,-2.7819,0.7102,2.3014
46.90,-0.8886,9.8480,-1.6547,-1.7782,-1.6361,-0.0315
63.40,-0.6949,9.8575,-1.5925,-5.4222,-1.3946,0.6285
80.10,-0.7303,9.8597,-1.5631,-11.0551,-0.8297,1.6843
96.90,-0.5367,9.8693,-1.5899,-17.3668,0.0896,2.4241
113.70,-0.2561,9.5941,-1.4204,-22.0855,1.3585,3.6965
130.30,-0.3887,9.4969,-1.4827,-22.7928,2.8840,3.8030
146.90,-0.4057,9.5107,-2.1360,-11.8363,3.1554,-2.3443
163.60,0.0570,9.3589,-2.4895,-13.6839,4.0255,-7.9596
180.30,0.5137,9.3122,-2.3043,-21.6666,7.5984,-12.7079
197.30,0.7994,9.1588,-1.9305,-36.5250,13.8820,-13.3930
213.60,0.8797,9.2394,-2.3831,-58.9849,19.9216,-14.3151
230.40,1.0981,9.4533,-2.9460,-76.9187,23.7851,-14.9227
252.60,1.0551,9.7961,-3.5852,-74.9803,36.9933,-32.2107
263.70,-0.0159,10.2546,-5.5922,-72.3630,38.6665,-49.1256
280.80,-1.9381,10.6286,-6.9603,-103.2729,25.7076,-64.8142
299.60,-1.9089,10.4717,-7.6309,-176.3179,5.0683,-71.1213
317.80,-3.4533,8.9025,-10.1995,-279.1212,-46.4198,-71.7706
330.40,-6.1758,6.7994,-10.2634,-379.0005,-114.3349,-81.7759
347.70,-10.1247,4.1744,-10.7254,-443.0337,-205.2085,-95.9229
364.70,-13.4773,0.5835,-10.0375,-443.9289,-325.1081,-125.6974
382.20,-16.6492,-2.6045,-7.4513,-332.9649,-369.0885,-128.1387
400.40,-16.5683,-2.2303,-4.3415,-216.8156,-360.2143,-115.7379
415.00,-14.3896,-1.4822,-1.1928,-164.8085,-368.3305,-72.7689
433.10,-13.6953,-2.9830,-8.8950,-84.2695,-379.0118,-48.2468
448.90,-11.6930,-2.7751,-10.1328,-30.8951,-338.8432,-53.7924
467.00,-9.4961,-1.5499,-8.0195,22.4440,-272.1747,-93.6880
481.20,-8.2058,-0.5195,-5.6653,32.5708,-260.9526,-101.4023
498.30,-7.7799,0.6845,-2.3463,33.6936,-206.6419,-107.3682
514.50,-7.2063,1.8730,-0.4137,16.6948,-131.8514,-111.7139
533.80,-6.9190,-0.2187,-0.3154,-7.2972,-82.4144,-111.8699
547.00,-7.5477,-3.1448,-0.0438,-24.0256,-65.4407,-109.0776
564.20,-7.8297,-4.7826,0.7954,-21.4519,-74.0892,-99.0493
580.60,-7.8000,-4.3921,2.8072,8.8993,-100.0961,-65.4369
596.80,-7.3338,-3.0611,3.7929,14.3890,-94.4866,-44.4299
613.60,-7.2626,-2.2840,3.6890,10.3175,-72.3727,-34.5107
630.20,-7.1382,-2.0329,3.2347,2.5920,-51.4028,-28.0094
647.40,-7.3676,-3.0207,2.2302,-1.7569,-40.1470,-22.8924
665.80,-7.6496,-3.5563,1.9967,-0.6229,-25.0999,-21.2284
680.00,-7.9672,-3.5019,2.8144,4.5883,-21.1087,-17.3197
696.90,-8.1843,-2.7757,4.0771,6.3277,-12.7974,-8.8332
713.40,-8.1716,-1.8641,4.2107,3.1113,-2.7468,1.1291
732.20,-8.3655,-2.0019,3.2970,-0.6857,2.9832,8.2274
746.70,-8.4106,-2.2040,2.0478,-1.5518,0.7912,10.2360
764.90,-8.9951,-2.2685,1.6195,-1.6177,-4.2905,10.4573
780.10,-9.3764,-2.2060,2.1041,-1.7087,-5.5793,9.7381
796.90,-9.5562,-1.8242,2.4086,-6.8828,12.7876,9.5840
814.00,-9.6576,-1.9236,2.2003,-9.5019,19.1455,13.4133
830.40,-9.7700,-2.1738,1.5335,-8.1020,16.5171,18.5966
846.80,-9.8173,-2.3261,0.6849,-4.3040,8.7727,22.2831
863.70,-9.7969,-2.2649,-0.2249,-0.8103,2.2442,21.4971
881.20,-10.0210,-1.7519,-0.5756,-1.0237,9.1512,11.4585
896.90,-10.0837,-1.4377,-0.2512,-4.6943,19.8068,8.0432
913.40,-10.1036,-1.7068,-0.1203,-6.6261,24.2915,8.6185
930.00,-10.1193,-2.0313,-0.4168,-4.1718,20.9926,11.2852
947.70,-9.9131,-2.0107,-0.9263,-0.2987,11.2737,14.5005
963.40,-9.6824,-1.5651,-1.2416,2.5765,4.6964,13.8230
980.10,-9.6824,-1.5651,-1.2416,2.3537,8.5060,9.4131
997.10,-9.6185,-1.0464,-0.0017,-7.6506,31.4679,6.1630
1013.40,-9.5585,-1.2936,0.4265,-13.9013,42.1705,8.5683
1030.10,-9.4242,-1.8666,0.5110,-16.5684,50.4657,12.5157
1046.70,-9.3497,-2.2264,0.6056,-17.8578,59.1939,16.2523
1063.30,-9.1167,-2.4157,0.3864,-17.6892,66.3102,18.8613
1080.00,-8.8818,-1.4421,1.8121,-15.6251,81.5702,19.5717
1096.80,-8.3254,0.0109,2.4223,-17.5274,109.3188,21.5130
1113.40,-7.8695,1.0014,2.3038,-43.2530,208.2105,14.6056
1130.10,-7.4047,1.2798,2.0622,-48.2298,274.0163,-1.0073
1146.70,-7.3435,1.0491,2.0231,-39.8381,330.0275,-18.1333
1163.30,-7.9598,0.2138,2.1014,-15.5563,368.9884,-32.2835
1180.00,-9.5478,-0.2058,2.4098,60.1630,383.7438,-68.3468
1196.70,-9.7999,0.2197,1.7360,103.5937,380.3335,-81.7082
1213.40,-10.3252,0.7918,1.3725,132.8409,341.2674,-70.5633
1230.10,-10.2310,1.1467,-0.3193,156.1718,307.7183,-68.0904
1246.80,-10.5209,1.7075,-1.5538,167.4244,267.3556,-60.0335
1263.60,-10.8519,2.5084,-1.8311,165.4326,224.5560,-46.1071
1280.10,-10.9556,3.6889,-1.0133,153.4291,182.6443,-20.2404
