timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
8.10,-1.0701,9.4072,-1.5556,3.1609,-0.1980,1.3855
26.10,-0.7272,9.3310,-1.0745,4.4318,0.2512,-1.1252
41.90,-0.6227,9.2402,-0.9334,1.2883,2.1263,0.7343
58.00,-0.6943,9.2452,-1.1198,-0.6380,3.9917,1.3817
74.70,-0.6943,9.2477,-1.0990,0.1882,5.8287,0.7289
91.40,-0.6681,9.0533,-1.0780,1.5214,7.6923,-1.1377
108.20,-0.7092,8.8264,-0.6937,1.3636,9.5709,-2.6531
124.90,-0.4966,8.4344,-0.5147,2.2223,14.6210,-1.1953
141.50,0.0593,7.7765,-0.3041,0.6817,21.2785,1.0626
158.10,0.4360,7.1101,-0.3256,-4.0981,31.8999,4.1610
174.90,0.2461,6.6994,-0.8349,-9.3500,42.7895,4.9166
191.70,-0.1972,5.6194,-0.6881,-8.4585,51.9902,-1.1305
208.10,-0.7499,4.9469,-0.0741,0.0833,61.1117,-9.8064
228.20,-0.9227,4.4358,0.2056,35.0759,75.9368,-29.5977
241.30,-0.7295,3.9141,1.2720,46.9455,84.5290,-38.1175
258.00,-0.4863,3.6280,2.0447,61.0398,95.4701,-46.2187
274.80,-0.3526,3.3279,2.2937,68.2054,105.9487,-54.1471
291.50,0.1444,3.1678,3.3173,75.5007,121.1149,-62.6179
308.10,-1.3550,3.7288,4.1654,85.9672,134.2993,-75.9797
327.90,-2.3063,4.3500,3.9101,108.9552,157.5721,-90.5492
341.50,-3.0583,5.2135,3.8647,136.5483,154.6424,-106.8252
358.10,-3.0798,6.1318,3.5307,168.3435,144.8785,-128.1077
374.70,-2.4117,7.4517,3.9071,195.2797,131.2390,-152.8455
391.60,-1.6444,9.8329,4.4271,219.4123,106.5197,-187.2216
408.20,-1.9248,13.5632,5.1503,248.1775,81.3118,-203.4557
424.80,-1.5794,20.6525,2.9151,266.1521,21.8633,-210.4701
441.50,-0.0898,23.1356,1.4204,285.1890,-16.3617,-182.5106
458.50,1.0110,24.3837,-0.6588,285.9801,-43.2239,-167.8870
475.00,1.7153,25.3940,-2.7803,274.7532,-58.7129,-146.0367
491.40,2.4398,25.9114,-5.0714,260.9560,-68.9481,-122.6331
508.20,3.1878,25.5509,-7.4591,256.8884,-86.8077,-98.2186
525.00,4.1791,25.7613,-11.9429,246.4618,-141.4122,-71.8644
541.60,6.9921,29.1940,-12.1993,235.8827,-184.4724,-54.3657
558.50,9.3481,28.6375,-10.8554,223.3933,-187.2495,-0.8907
574.90,10.3154,26.8450,-10.2155,211.7539,-153.7231,20.7529
591.70,8.2176,23.6287,-10.3906,196.4757,-121.7972,28.1655
608.40,6.6989,23.4813,-10.6664,184.7467,-115.4189,35.8447
