timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
8.20,-0.4388,9.8593,-0.7760,-1.0164,-0.7617,3.1649
25.00,-0.5017,9.8759,-1.0750,0.5743,-0.1886,0.3529
42.10,-0.5216,9.7570,-0.7678,1.4525,-0.0854,-1.9552
60.00,-0.5574,9.7350,-0.4789,0.5298,-0.6678,-1.6010
74.70,-0.6555,9.7293,-0.5006,-0.5201,-2.2580,0.2848
91.30,-0.2430,9.6585,-0.5430,1.1604,-2.7367,-0.0628
108.00,-0.0131,9.6939,-0.7731,6.5983,-1.0792,-3.2570
124.60,-0.1673,9.8095,-1.0562,10.6082,-0.3263,-7.5802
141.30,-0.3220,9.7354,-0.1709,11.0613,0.0449,-10.2633
158.40,-0.3231,9.8275,-0.0807,8.5036,0.3675,-8.7438
175.20,-0.4179,9.9300,-0.2011,2.0554,0.0305,-3.2116
192.20,-0.2919,9.9422,-0.2941,2.7449,-0.3583,-2.9711
208.70,-0.3707,10.1596,-0.5883,6.7299,-1.3188,-5.0537
225.40,-0.3477,10.2672,-0.6805,11.8211,-2.2754,-8.1298
241.40,-0.3858,10.4653,-0.6778,15.0421,-3.7350,-10.9497
259.80,-0.2055,10.7423,-0.2481,14.8264,-5.1510,-13.2566
275.00,-0.1114,10.8166,0.1675,17.4670,-6.8174,-11.7777
291.40,-0.0531,11.0235,0.0957,19.0877,-8.6475,-8.9955
308.70,0.0333,11.4740,-0.5537,17.6127,-13.2608,-10.2350
324.70,0.8838,11.4856,-0.4680,22.3845,-17.8698,-15.4352
342.50,2.1034,11.9681,-0.0187,31.1062,-19.5425,-21.8161
358.50,2.7583,12.0703,0.7485,32.5585,-22.5519,-27.2683
374.80,3.6258,12.1636,1.6125,33.9504,-26.8595,-30.0341
391.70,4.4948,12.2707,0.8863,44.5301,-32.8620,-24.3176
408.00,5.4774,12.2765,-0.0748,38.4588,-30.5302,-23.0962
425.00,6.2696,12.0897,0.0418,24.4775,-23.0016,-19.4106
441.40,5.9236,12.1286,0.5449,21.6162,-18.6525,-16.1272
458.30,4.4404,12.8694,-0.4807,25.5271,-25.6233,-18.6511
475.30,5.7135,12.1692,-0.6909,27.6379,-40.6953,-23.8094
491.40,8.0088,10.9651,-0.9140,31.8087,-55.8937,-29.0191
508.30,9.0423,10.2733,-0.5974,28.1640,-55.4312,-29.4477
525.00,9.7736,9.3592,-0.2285,25.7465,-48.1603,-25.1365
541.60,10.5929,8.4446,-1.2127,26.5750,-34.4905,-25.3020
558.30,11.2089,7.4991,-2.0333,27.1477,-7.7929,-28.2716
574.70,7.6114,7.5591,-0.2161,23.5303,16.0902,-29.5958
591.70,3.9087,8.3625,3.0480,6.2945,19.2616,-12.3783
608.10,2.3627,7.8831,3.9312,7.8045,-7.1140,2.1752
625.10,2.8419,7.1058,1.6498,35.2695,-29.9728,-10.6142
641.40,5.6239,5.1433,-0.7535,56.5576,-30.7925,-29.7797
659.60,7.8784,3.2319,-2.1484,46.3401,-2.0969,-29.3853
674.90,3.4852,3.4156,-0.4085,15.6126,43.1897,-9.7850
691.70,-3.4025,5.6254,0.2970,3.8329,78.3647,-1.4098
708.00,-9.3280,7.5716,0.8710,4.4221,59.2987,-48.7238
725.20,-9.4183,6.4456,2.3238,3.8530,37.8276,-77.3628
742.90,-5.4204,3.6563,3.0855,5.0779,43.5395,-88.5600
758.00,-1.8988,2.7928,4.3319,2.0582,94.6356,-80.0988
774.80,-13.7501,11.4502,7.7413,-0.9205,133.0263,-64.9389
791.30,-17.4077,15.3051,8.9808,-2.9321,126.5905,-51.3774
808.10,-16.3427,15.8631,8.9921,-7.4651,34.1446,-1.7049
825.00,-13.2814,15.1064,7.8798,-10.0435,-0.7138,33.2534
841.50,-11.0745,12.6971,5.4368,-23.1509,-15.6001,61.4019
858.10,-10.2819,10.5817,3.4438,-33.6850,-26.7945,75.4440
874.70,-9.8683,9.0708,1.2395,-37.5677,-39.1478,71.0401
891.40,-8.9243,7.9369,0.5211,-38.6627,-55.1020,54.7398
908.10,-7.0733,6.9472,1.2470,-49.7391,-73.4916,30.7763
924.80,-4.3207,5.7977,2.0416,-47.1384,-69.3202,27.4101
941.40,-1.7334,4.8667,2.2473,-49.9984,-52.5754,27.8019
958.30,0.4927,5.2378,2.8936,-56.2786,-30.4982,32.3176
975.00,2.3617,6.5956,4.2497,-55.1172,-11.4668,45.0920
991.60,0.9265,8.9630,1.0277,-49.0852,1.0136,60.2703
1009.20,1.4984,8.5813,-1.0983,-55.1387,2.2723,71.0289
1025.00,2.5826,8.5620,-1.5885,-86.0627,15.4516,66.2792
1041.50,2.7984,8.6038,-0.4940,-80.0370,27.5911,50.5671
1058.50,1.0426,10.2849,1.1062,-51.2337,32.2519,34.8145
1074.70,-0.8136,11.3317,0.9949,-29.7313,20.5112,26.9413
1091.80,0.2325,11.6192,0.5471,-27.2240,8.4987,31.5534
1108.20,3.1224,11.0598,-2.0548,-45.2445,1.5246,44.1400
1126.20,4.3902,10.6998,-1.6340,-65.0957,12.2002,32.1640
1142.40,3.5850,11.7509,-0.9769,-40.5972,22.1196,15.7872
1158.30,1.9572,12.0932,-0.9134,-20.9370,22.6364,2.0237
1175.10,0.9799,12.1131,0.1509,-18.3855,15.2942,0.2992
1191.50,1.7342,11.5900,1.8721,-24.0639,8.4541,14.4592
1208.30,3.1471,10.9919,1.7755,-39.2173,10.4952,36.3719
1224.80,3.2768,11.8757,-0.5662,-57.9855,15.8624,45.0213
1241.50,1.7346,12.3290,-1.5514,-23.5545,30.6464,21.6332
1258.10,0.7240,12.0610,-1.5612,-7.3145,26.5103,8.1513
1274.90,0.5501,12.1031,-1.1368,-9.7750,17.9576,5.3361
1291.50,0.6887,12.3070,-0.5232,-19.5791,10.3082,8.8488
1308.20,1.3999,12.5577,-0.7302,-23.0205,9.0856,6.1596
1324.70,0.6871,12.6256,-0.3785,-9.5438,13.7532,-3.0519
1341.40,-0.0446,12.3773,0.0332,5.7815,16.6259,-11.6040
1358.20,-0.4961,11.9820,0.2926,7.4676,9.7710,-8.6175
1374.80,-0.8610,11.4072,0.5869,-3.9010,5.5304,5.1192
1391.50,-0.7739,11.0430,-0.8383,-10.0569,4.0548,12.1913
1408.10,-1.1337,10.7018,-2.1273,-4.2924,3.0231,5.4337
1424.90,-2.0986,10.2183,-1.2894,9.2046,1.0891,-7.6065
1441.60,-1.7528,9.8524,-0.2409,19.0732,-4.0299,-13.0198
1458.30,-1.1362,9.6433,0.0802,-1.9750,-12.5240,10.5801
1474.80,-0.0787,9.5533,-0.8595,-10.5145,-9.4681,19.4849
1491.40,0.2837,9.4092,-1.9331,-8.9531,-2.5367,15.4893
1508.30,-2.3452,9.8956,-1.8270,4.6713,3.6533,1.6619
1524.80,-2.2716,9.5939,-0.3424,15.7447,-0.0617,-9.2212
1541.60,-1.7513,9.5688,-0.2015,13.7631,-5.3373,-5.8806
1558.10,-1.1490,9.4952,-0.7074,-3.4865,-6.6862,9.1869
1574.70,-1.1297,9.5525,-1.4642,-2.4940,-3.2965,7.1556
1591.60,-1.4443,9.7090,-1.4795,1.9719,-1.7627,0.8570
1608.20,-1.5167,9.6642,-0.9962,5.9496,-1.8023,-2.5814
1624.90,-1.2780,9.5927,-0.8696,7.8766,-1.2225,-2.5681
1641.60,-1.5241,9.6761,-1.2122,8.0509,-0.2293,-2.0447
1658.40,-1.7762,9.7183,-0.9697,1.8133,-2.1246,-0.4102
1675.00,-1.5952,9.7367,-0.8618,-2.1284,-3.4755,1.7236
