timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
4.90,-0.8805,9.6674,-1.4509,0.9361,0.6219,0.4325
22.40,-0.8949,9.6686,-1.3520,1.1772,0.6222,0.1645
38.20,-0.8921,9.6678,-1.3594,0.8836,0.4167,0.1252
55.20,-0.8921,9.6678,-1.3594,0.8836,0.4167,0.1252
71.50,-0.8923,9.6681,-1.3570,0.6678,0.6141,0.1923
88.10,-0.9900,9.7679,-1.2835,0.5439,0.2247,1.0880
105.20,-0.8619,9.7671,-1.4668,0.8160,-0.0676,1.3340
121.30,-0.8449,9.7671,-1.5588,0.2333,0.0199,1.1468
139.30,-0.8409,9.6685,-1.5502,-0.5480,0.2043,0.9263
155.80,-0.9377,9.6694,-1.5505,-1.1187,0.5907,0.6322
171.70,-0.9195,9.6684,-1.6515,-0.9413,0.3877,0.1538
188.70,-0.8362,9.6717,-1.5324,1.5293,-0.3995,-1.9854
205.20,-0.7557,9.6751,-1.4114,0.5803,0.2892,-1.8356
223.60,-0.8845,9.6742,-1.2363,-1.2666,0.7763,-0.4038
238.40,-0.8880,9.7736,-1.2402,-3.1922,1.0630,0.9221
255.30,-0.9884,9.7679,-1.3639,-3.2303,0.5618,1.2246
272.20,-0.8714,9.7672,-1.4601,-0.0569,-0.7040,-0.2029
290.00,-0.8854,9.6709,-1.2609,1.4403,-0.9984,-1.3888
305.60,-0.9168,9.6724,-1.0701,-0.7570,-0.6054,0.4005
322.00,-0.9039,9.6704,-1.1732,-2.4542,-0.1010,2.2687
340.00,-0.9918,9.7630,-1.3968,-1.4119,-0.7763,2.8362
356.50,-0.7612,9.6671,-1.5451,0.9391,-1.6647,1.3736
372.00,-0.6924,9.6730,-1.3206,1.7818,-1.5734,-0.2222
389.30,-0.8750,9.7711,-1.3489,1.0586,-0.6873,-0.2388
404.90,-0.9906,9.7671,-1.3686,-1.4609,-1.0097,1.1074
421.40,-0.8754,9.6682,-1.4490,0.3287,-1.2858,0.6698
