timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
11.80,-1.6945,9.7098,-1.1440,-3.0311,1.9040,4.3043
28.60,-1.6176,9.6083,-1.0744,-8.7760,0.5074,8.1550
45.00,-1.3974,9.3139,-0.1684,-15.7309,-0.3209,14.1470
61.90,-0.8215,8.9623,0.0394,-20.7879,-0.6936,21.3401
78.30,-0.6093,8.6784,0.5034,-27.8773,4.6965,33.0312
95.10,-0.7878,8.4575,0.7934,-23.7021,7.9136,38.0741
111.80,-1.7611,8.4586,0.3325,-15.3234,6.1226,40.9165
128.60,-2.3510,8.3964,0.2297,-4.9170,-0.0329,42.5559
145.20,-2.3397,8.1962,0.3443,7.9558,-4.8998,43.4872
161.70,-2.4224,7.8608,1.6971,12.6105,-9.1143,48.9919
179.10,-1.6002,7.4173,2.0108,6.1527,-13.5813,61.1802
195.10,-0.9567,6.8709,1.6838,-11.3473,-13.9665,93.3631
211.80,-0.5218,6.5313,1.0145,-11.6405,-13.7820,105.4700
228.40,-0.6922,6.1533,0.3716,-5.3845,-15.6583,114.2112
245.30,0.4327,6.0654,0.0570,-2.4135,-17.4254,121.8996
261.80,1.6468,5.2034,-0.5942,-2.1935,-13.8133,125.9522
278.60,2.8908,4.1113,-1.1448,-4.6769,-10.3819,130.8087
295.30,3.0119,3.8573,-2.4838,17.3421,0.5703,140.3680
311.80,4.1463,3.6238,-3.0211,21.2985,7.2334,143.8560
328.90,5.1916,3.4646,-3.6638,7.4487,22.8971,150.2573
345.10,5.8090,3.6389,-4.5895,-15.6000,39.9203,154.9090
362.20,7.9646,3.2605,-4.9411,-53.0862,51.4253,168.1373
378.50,7.9646,3.2605,-4.9411,-78.7965,70.0863,186.4675
395.30,13.1597,4.8545,-10.5767,-134.9021,86.3437,178.8623
411.80,16.3476,6.5595,-13.5077,-147.1391,95.0244,142.1011
428.60,18.2874,7.2061,-12.5692,-140.8872,100.8698,105.5801
445.10,18.4762,9.0316,-11.9846,-150.8580,110.0203,73.3798
462.00,17.8727,11.9382,-13.7297,-161.6217,104.3084,44.7529
478.50,18.1223,18.8072,-17.4542,-169.9546,75.8393,4.6015
495.60,18.8732,20.1555,-16.6571,-166.3448,35.3632,-24.3410
511.80,18.0789,21.3002,-14.8155,-169.6448,-19.3244,-77.9320
528.50,14.3741,22.7744,-15.7586,-177.3731,-49.1191,-90.9867
545.20,11.9212,21.5092,-15.9481,-200.8591,-82.9657,-101.5693
561.90,12.2557,20.0187,-17.8186,-234.9068,-112.3457,-122.1509
578.70,15.1770,18.6438,-18.1859,-262.9479,-125.9780,-168.8702
